session_id,time_to_cart,hour_of_cart,day_of_week,views_before_cart,total_events_before_cart,browse_intensity_pre_cart,unique_products_viewed,unique_categories_viewed,unique_brands_viewed,avg_viewed_price,max_viewed_price,min_viewed_price,price_variance_viewed,initial_cart_value,initial_cart_items,avg_cart_item_price,avg_time_between_events,event_acceleration,category_focus_ratio,main_category,target_purchase
ecb56667-5d22-4a07-ab11-2e5ca9bd3f27,14.0,14,1,1,1,4.285714285714286,1,1,1,256.84,256.84,256.84,0.0,256.84,1,256.84,0.0,0.0,1.0,electronics,1
ecb5e4be-a8fd-4907-a301-d871b5ac36fa,138.0,17,1,1,1,0.4347826086956522,1,1,1,587.37,587.37,587.37,0.0,587.37,1,587.37,0.0,0.0,1.0,electronics,0
ecb6e67b-1d7a-4eae-969b-f2a565a7027a,527.0,11,4,4,4,0.4554079696394687,4,1,1,229.33999999999997,380.68,132.05,11810.351666666667,132.05,1,132.05,156.0,250.0,1.0,electronics,0
ecb7700a-0bc8-4dc7-bcb3-12653fff88e6,26.0,10,1,1,1,2.3076923076923075,1,1,1,1415.48,1415.48,1415.48,0.0,1415.48,1,1415.48,0.0,0.0,1.0,electronics,0
ecb7887d-b49b-4f47-9174-729ee8750a4f,38.0,17,2,1,1,1.5789473684210527,1,1,1,1003.86,1003.86,1003.86,0.0,1003.86,1,1003.86,0.0,0.0,1.0,electronics,0
ecb7b6e6-9bc7-4ef1-8666-04d82ba44b19,430.0,1,0,2,2,0.27906976744186046,2,1,2,546.845,823.44,270.25,153009.58805000002,823.44,1,823.44,148.0,0.0,0.5,electronics,0
ecb7fcb7-d7dc-45f1-a652-1dd6e6fabd06,137.0,6,0,3,3,1.3138686131386863,3,1,3,236.61666666666667,669.23,7.18,140538.11903333332,7.18,1,7.18,52.5,-83.0,0.3333333333333333,computers,0
ecb810ff-e6be-4db1-ab6d-15acb53bd1bc,122.0,11,4,3,3,1.4754098360655739,2,1,2,289.2366666666667,358.57,254.57,3605.3333333333335,358.57,1,358.57,50.0,-22.0,1.0,electronics,0
ecb99e77-0843-4e86-a121-ea155b5d9a64,28.0,1,2,1,1,2.142857142857143,1,1,1,1619.09,1619.09,1619.09,0.0,1619.09,1,1619.09,0.0,0.0,1.0,electronics,0
ecb9ca2a-87e5-46d5-8269-a1ab7ca6b807,206.0,9,4,5,5,1.4563106796116505,3,1,1,823.4860000000001,874.92,720.48,5294.471179999994,874.92,1,874.92,51.0,12.0,1.0,computers,0
ecbbbe17-9567-446f-86db-e6ffea72c534,105.0,10,6,1,1,0.5714285714285714,1,1,1,153.86,153.86,153.86,0.0,153.86,1,153.86,0.0,0.0,1.0,electronics,0
ecbbdacc-3fbc-4f15-8e31-4d6b0ed48547,272.0,4,0,7,7,1.5441176470588236,6,1,2,309.44714285714286,591.52,97.79,34117.71412380952,229.99,1,229.99,42.833333333333336,0.0,1.0,electronics,0
ecbd00bb-dcbb-4490-afae-bb3ec838673f,171.0,16,1,1,1,0.3508771929824561,1,1,1,131.02,131.02,131.02,0.0,131.02,1,131.02,0.0,0.0,1.0,electronics,0
ecbddf76-d384-4d97-b569-5df42df69528,180.0,3,1,5,5,1.6666666666666667,5,2,3,116.272,174.75,33.44,2679.16807,130.76,1,130.76,37.75,-56.0,0.8,electronics,1
ecbe6d0b-aae3-462a-9103-a80d232583d8,13.0,7,3,1,1,4.615384615384615,1,1,1,191.72,191.72,191.72,0.0,191.72,1,191.72,0.0,0.0,1.0,electronics,0
ecbedd21-2724-47f6-9b85-051a53c390ff,1.0,10,4,1,1,60.0,1,1,1,132.05,132.05,132.05,0.0,132.05,1,132.05,0.0,0.0,1.0,electronics,1
ecbfaba4-e7ab-4866-b2a1-019ed2b3e89c,70.0,2,2,1,1,0.8571428571428571,1,1,1,511.98,511.98,511.98,0.0,511.98,1,511.98,0.0,0.0,1.0,electronics,0
ecc0c1f4-f615-40d4-9c8b-11db155564e3,1071.0,11,4,8,8,0.44817927170868344,6,2,1,896.4875,1335.92,161.84,115692.39885000001,161.84,1,161.84,152.57142857142858,212.0,0.875,electronics,0
ecc10565-8afe-4531-b46e-8e38d20c8404,119.0,13,6,2,2,1.0084033613445378,2,1,1,194.115,197.77,190.46,26.718050000000016,197.77,1,197.77,11.0,0.0,1.0,electronics,0
